n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,rmse
800,0.05,5,10,0.8,1.0,21.001707249948055
800,0.05,5,10,1.0,0.8,21.076394809535763
800,0.05,5,10,1.0,1.0,21.20031587938368
800,0.05,7,1,0.8,0.8,20.915669627404863
800,0.05,7,1,0.8,1.0,21.16189175282788
800,0.05,7,1,1.0,0.8,21.089255728843032
800,0.05,7,1,1.0,1.0,21.325867323449156
800,0.05,7,5,0.8,0.8,20.8695164654847
800,0.05,7,5,0.8,1.0,21.037450903283325
800,0.05,7,5,1.0,0.8,20.959113891682048
800,0.05,7,5,1.0,1.0,21.07983421582114
800,0.05,7,10,0.8,0.8,20.56559762371237
800,0.05,7,10,0.8,1.0,20.859116879354932
800,0.05,7,10,1.0,0.8,20.756709683013245
800,0.05,7,10,1.0,1.0,20.925910512047302
800,0.1,3,1,0.8,0.8,21.264148334242304
800,0.1,3,1,0.8,1.0,20.594144933642813
800,0.1,3,1,1.0,0.8,21.211766712226346
800,0.1,3,1,1.0,1.0,20.86447093716287
800,0.1,3,5,0.8,0.8,21.385541793228107
800,0.1,3,5,0.8,1.0,20.49684152414285
800,0.1,3,5,1.0,0.8,21.054314987912342
800,0.1,3,5,1.0,1.0,20.456009125909624
800,0.1,3,10,0.8,0.8,21.343083128583405
800,0.1,3,10,0.8,1.0,20.875227851565768
800,0.1,3,10,1.0,0.8,21.15052461942573
800,0.1,3,10,1.0,1.0,20.858418491646308
800,0.1,5,1,0.8,0.8,20.86750811796194
800,0.1,5,1,0.8,1.0,20.88531148412947
800,0.1,5,1,1.0,0.8,21.28288477661072
800,0.1,5,1,1.0,1.0,21.23575158942133
800,0.1,5,5,0.8,0.8,20.90176576893083
800,0.1,5,5,0.8,1.0,20.905943332102005
800,0.1,5,5,1.0,0.8,21.329345621471916
800,0.1,5,5,1.0,1.0,21.39963119966294
800,0.1,5,10,0.8,0.8,20.767310165595912
800,0.1,5,10,0.8,1.0,20.78792255404317
800,0.1,5,10,1.0,0.8,20.852218823550004
800,0.1,5,10,1.0,1.0,20.982469096703593
800,0.1,7,1,0.8,0.8,21.16801340207351
800,0.1,7,1,0.8,1.0,21.347739774576407
800,0.1,7,1,1.0,0.8,21.356660024222656
800,0.1,7,1,1.0,1.0,21.13769802066926
800,0.1,7,5,0.8,0.8,20.976821251040384
800,0.1,7,5,0.8,1.0,21.02462271283746
800,0.1,7,5,1.0,0.8,20.879451475155065
800,0.1,7,5,1.0,1.0,21.28489111346715
800,0.1,7,10,0.8,0.8,21.011174061758773
800,0.1,7,10,0.8,1.0,21.415734063326656
800,0.1,7,10,1.0,0.8,20.942933904924764
800,0.1,7,10,1.0,1.0,20.938355502720338
